text,label
War breaks out between two countries,HIGH
Airstrike kills 25 civilians,HIGH
Terrorist attack reported in city,HIGH
Border tensions escalate between nations,HIGH
Explosion injures dozens in market,HIGH
Military conflict intensifies in region,HIGH
Flood kills hundreds in village,HIGH
Earthquake causes major destruction,HIGH
Plane crash leaves many dead,HIGH
Violent protests turn deadly,HIGH
Bomb blast kills several people,HIGH
Missile strike hits military base,HIGH
Armed conflict breaks out in region,HIGH
Deadly shooting reported in city,HIGH
Rescue teams search after disaster,HIGH
War casualties continue to rise,HIGH
Clashes between forces intensify,HIGH
Hostage situation escalates,HIGH
Major fire causes deaths,HIGH
Violence spreads across border,HIGH
Naval conflict reported in sea region,HIGH
Civil war escalates in country,HIGH
Mass evacuation after disaster,HIGH
Chemical leak causes deaths,HIGH
Terror group claims responsibility for attack,HIGH

Government announces new policy,MEDIUM
Elections scheduled next month,MEDIUM
Inflation rate rises slightly,MEDIUM
New tax reform introduced,MEDIUM
Economic growth forecast released,MEDIUM
Trade agreement signed between countries,MEDIUM
Budget discussion begins in parliament,MEDIUM
New law passed by government,MEDIUM
Stock market shows moderate growth,MEDIUM
Central bank updates interest rates,MEDIUM
Government plans new education policy,MEDIUM
Parliament debates new bill,MEDIUM
Economic report released today,MEDIUM
New trade policy announced,MEDIUM
Political leaders meet for talks,MEDIUM
Budget proposal discussed,MEDIUM
Tax rates expected to change,MEDIUM
Banking sector shows growth,MEDIUM
Public policy updated,MEDIUM
International agreement signed,MEDIUM
Diplomatic talks held between nations,MEDIUM
Government launches new scheme,MEDIUM
Economic slowdown reported,MEDIUM
Policy changes affect businesses,MEDIUM
New regulations introduced by authority,MEDIUM

Celebrity wedding goes viral,LOW
New movie released in theatres,LOW
Sports team wins championship,LOW
Festival celebrations begin in city,LOW
Fashion show attracts attention,LOW
Singer releases new album,LOW
Cricket match draws huge crowd,LOW
Actor spotted at event,LOW
TV show gains popularity,LOW
Social media trend goes viral,LOW
New restaurant opens in city,LOW
Fashion event attracts crowd,LOW
Singer announces tour dates,LOW
Football match ends in draw,LOW
Celebrity shares vacation photos,LOW
New smartphone launched,LOW
Gaming event announced,LOW
Comedy show premieres tonight,LOW
Influencer posts viral video,LOW
Art exhibition opens to public,LOW
Music concert announced,HIGH
Dance performance gains attention,LOW
Reality show finale airs tonight,LOW
Online challenge trends worldwide,LOW
Local fair attracts visitors,LOW
